course_code,course,course_title,description,themes,flag,prereq_courses,coreq_courses,flag_to_check
ASTR_V,ASTR_V 205,Stars and Stellar Populations,"Measurement of positions, motions, and distances in astronomy.  Temperature, masses, and spectra of stars.  Hertzsprung-Russell diagram.  Quantitative stellar structure and evolution.  Chemical composition of stars in different Galactic populations. Globular and open star clusters. [3-0-0] Prerequisite: ASTR 200 and one of PHYS 210, EOSC 211, CPSC 302, CPSC 303.",[],,"['ASTR_V 200', 'PHYS_V 210', 'EOSC_V 211', 'CPSC_V 302', 'CPSC_V 303']",[],[]
ASTR_V,ASTR_V 300,Galaxies,"Structure and kinematics of our galaxy. Spiral arms and dynamics of stars in spiral and elliptical galaxies. Galactic formation, evolution, dynamics, and groups. Active galaxies and quasars. This course is not eligible for Credit/D/Fail grading. [3-0-0] Prerequisite: ASTR 205 and one of PHYS 210, EOSC 211, CPSC 302, CPSC 303. Corequisite: One of MATH 217, MATH 227, MATH 317.",[],,"['ASTR_V 205', 'PHYS_V 210', 'EOSC_V 211', 'CPSC_V 302', 'CPSC_V 303']","['MATH_V 217', 'MATH_V 227', 'MATH_V 317']",[]
ASTR_V,ASTR_V 403,Cosmology,"Introduction to the study of the Universe as a whole. Foundations of the Hot Big Bang model, the early Universe, nucleosynthesis, the cosmic microwave background, large-scale structure, galaxy formation and quasars. Credit will be granted for only one of ASTR 403 or PHYS 571. [3-0-0] Prerequisite: One of PHYS 200, PHYS 250. ASTR 300 is recommended.",[],,"['PHYS_V 200', 'PHYS_V 250']",[],[]
ASTR_V,ASTR_V 404,Astronomical and Astrophysical Measurements,"Astronomical instrumentation and techniques for ground and space-based observations. Theory of measurement, imaging, interferometry and spectroscopy of electromagnetic radiation at optical, radio, infrared, and X-ray wavelengths. Astronomical data analysis. [3-0-0] Prerequisite: All of PHYS 210, PHYS 408 and one of PHYS 312, MATH 316.",[],,"['PHYS_V 210', 'PHYS_V 408', 'PHYS_V 312', 'MATH_V 316']",[],[]
ASTR_V,ASTR_V 405,Astronomical Laboratory,"Experiments in the use of astronomical instrumentation and data analysis. Use of the 40-cm reflector, spectrograph and electronic detectors. Photometric and spectroscopic analysis of digital data. [0-0-3] Prerequisite: [ASTR404]",[],,['ASTR_V 404'],[],[]
BIOL_V,BIOL_V 112,Biology of the Cell,"The principles of cellular and molecular biology using bacterial and eukaryotic examples. [3-0-0] Prerequisite: One of CHEM 12, CHEM 100, CHEM 110, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111.",[],,"['CHEM_V 100', 'CHEM_V 110', 'CHEM_V 111', 'BIOL_V 111']",[],[]
BIOL_V,BIOL_V 111,Introduction to Modern Biology,"Concepts fundamental to biological issues, such as the genetic basis of biological variation, evolution, infectious diseases, causes of cancer, population growth, and human effects on ecosystems.  Not open to students who have credit for Biology 12 (including AP, IB). [3-0-0]","['Sustainability', 'Climate']",,[],[],[]
BIOL_V,BIOL_V 121,"Genetics, Evolution and Ecology","Principles of storage and transmission of genetic variation; origin and evolution of species and their ecological interactions. Credit will be granted for only one of BIOL 121 or BIOL 344. [3-0-0] Prerequisite: One of BIOL 11, BIOL 12, BIOL 111.","['Sustainability', 'Climate']",,['BIOL_V 111'],[],[]
BIOL_V,BIOL_V 200,Fundamentals of Cell Biology,"Structure and function of plant and animal cells; membrane models, cytoplasmic organelles, biological information from gene to protein, the endomembrane system, secretion, intracellular digestion, endocytosis, transport processes, cytoskeleton and cell motility. [3-0-1] Prerequisite: Either (a) BIOL 112 and one of CHEM 123, CHEM 130;  or (b) SCIE 001. or (c) 8 transfer credits of first-year BIOL and 6 credits of first-year CHEM or (d) one of BIOL 112 or BIOL 121 and a corequisite of one of CHEM 203 or CHEM 223.",[],or (c) 8 transfer credits of first-year BIOL and 6 credits of first-year CHEM or (d) one of BIOL 112 or BIOL 121 and a corequisite of one of CHEM 203 or CHEM 223,"['BIOL_V 112', 'CHEM_V 123', 'CHEM_V 130', 'SCIE_V 001']",[],"['BIOL 112', 'BIOL 121', 'CHEM 203', 'CHEM 223']"
BIOL_V,BIOL_V 331,Developmental Biology,"Animal development and its underlying causal principles; introductory embryology. [3-5-0] Prerequisite: Either (a) BIOL 201 or (b) all of BIOL 200, BIOL 260 and one of BIOL 233, BIOL 234.",[],,"['BIOL_V 201', 'BIOL_V 200', 'BIOL_V 260', 'BIOL_V 233', 'BIOL_V 234']",[],[]
BIOL_V,BIOL_V 155,Human Biology: Physiology and Introductory Anatomy,"The principles of biology with particular reference to the human body (anatomy and physiology).  (physiology and introductory anatomy). Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists [3-0-0; 3-0-0] Prerequisite: One of CHEM 12, CHEM 100, CHEM 110, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111.","['Sustainability', 'Climate']",,"['CHEM_V 100', 'CHEM_V 110', 'CHEM_V 111', 'BIOL_V 111']",[],[]
CHEM_V,CHEM_V 123,"Thermodynamics, Kinetics and Organic Chemistry","Fundamentals of chemical reactivity: thermodynamics; kinetics; organic chemistry, including stereochemistry; applications relevant to modern society. [3-3-0] Prerequisite: One of CHEM 111, CHEM 121, CHEM 141.",[],,"['CHEM_V 111', 'CHEM_V 121', 'CHEM_V 141']",[],[]
MATH_V,MATH_V 220,Mathematical Proof,"Sets and functions; induction; cardinality;  properties of the real numbers; sequences, series, and limits. Logic, structure, style, and clarity of proofs emphasized throughout. [3-0-0] Prerequisite: Either (a) a score of 64% or higher in one of MATH 101, MATH 103, MATH 105, SCIE 001 or (b) one of MATH 121, MATH 200, MATH 217, MATH 226, MATH 253, MATH 254.",[],,"['MATH_V 101', 'MATH_V 103', 'MATH_V 105', 'SCIE_V 001', 'MATH_V 121', 'MATH_V 200', 'MATH_V 217', 'MATH_V 226', 'MATH_V 253', 'MATH_V 254']",[],[]
